github.com/xkgo/godep-html github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 github.com/BurntSushi/toml@v0.4.1
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 github.com/json-iterator/go@v1.1.9
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 github.com/magiconair/properties@v1.8.1
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 github.com/natefinch/lumberjack@v2.0.0+incompatible
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 github.com/spf13/afero@v1.1.2
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 github.com/stretchr/testify@v1.7.0
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 go.uber.org/zap@v1.18.1
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 gopkg.in/natefinch/lumberjack.v2@v2.0.0
github.com/xkgo/xkit@v0.0.0-20210812084620-bb5f27f67c56 gopkg.in/yaml.v2@v2.2.8
github.com/json-iterator/go@v1.1.9 github.com/davecgh/go-spew@v1.1.1
github.com/json-iterator/go@v1.1.9 github.com/google/gofuzz@v1.0.0
github.com/json-iterator/go@v1.1.9 github.com/modern-go/concurrent@v0.0.0-20180228061459-e0a39a4cb421
github.com/json-iterator/go@v1.1.9 github.com/modern-go/reflect2@v0.0.0-20180701023420-4b7aa43c6742
github.com/json-iterator/go@v1.1.9 github.com/stretchr/testify@v1.3.0
github.com/stretchr/testify@v1.7.0 github.com/davecgh/go-spew@v1.1.0
github.com/stretchr/testify@v1.7.0 github.com/pmezard/go-difflib@v1.0.0
github.com/stretchr/testify@v1.7.0 github.com/stretchr/objx@v0.1.0
github.com/stretchr/testify@v1.7.0 gopkg.in/yaml.v3@v3.0.0-20200313102051-9f266ea9e77c
go.uber.org/zap@v1.18.1 github.com/benbjohnson/clock@v1.1.0
go.uber.org/zap@v1.18.1 github.com/pkg/errors@v0.8.1
go.uber.org/zap@v1.18.1 github.com/stretchr/testify@v1.7.0
go.uber.org/zap@v1.18.1 go.uber.org/atomic@v1.7.0
go.uber.org/zap@v1.18.1 go.uber.org/goleak@v1.1.10
go.uber.org/zap@v1.18.1 go.uber.org/multierr@v1.6.0
go.uber.org/zap@v1.18.1 gopkg.in/yaml.v2@v2.2.8
go.uber.org/zap@v1.18.1 gopkg.in/yaml.v3@v3.0.0-20210107192922-496545a6307b
gopkg.in/yaml.v2@v2.2.8 gopkg.in/check.v1@v0.0.0-20161208181325-20d25e280405
github.com/stretchr/testify@v1.3.0 github.com/davecgh/go-spew@v1.1.0
github.com/stretchr/testify@v1.3.0 github.com/pmezard/go-difflib@v1.0.0
github.com/stretchr/testify@v1.3.0 github.com/stretchr/objx@v0.1.0
gopkg.in/yaml.v3@v3.0.0-20200313102051-9f266ea9e77c gopkg.in/check.v1@v0.0.0-20161208181325-20d25e280405
go.uber.org/atomic@v1.7.0 github.com/davecgh/go-spew@v1.1.1
go.uber.org/atomic@v1.7.0 github.com/stretchr/testify@v1.3.0
go.uber.org/goleak@v1.1.10 github.com/kr/pretty@v0.1.0
go.uber.org/goleak@v1.1.10 github.com/stretchr/testify@v1.4.0
go.uber.org/goleak@v1.1.10 golang.org/x/lint@v0.0.0-20190930215403-16217165b5de
go.uber.org/goleak@v1.1.10 golang.org/x/tools@v0.0.0-20191108193012-7d206e10da11
go.uber.org/goleak@v1.1.10 gopkg.in/check.v1@v1.0.0-20180628173108-788fd7840127
go.uber.org/multierr@v1.6.0 github.com/stretchr/testify@v1.3.0
go.uber.org/multierr@v1.6.0 go.uber.org/atomic@v1.7.0
gopkg.in/yaml.v3@v3.0.0-20210107192922-496545a6307b gopkg.in/check.v1@v0.0.0-20161208181325-20d25e280405
github.com/kr/pretty@v0.1.0 github.com/kr/text@v0.1.0
github.com/stretchr/testify@v1.4.0 github.com/davecgh/go-spew@v1.1.0
github.com/stretchr/testify@v1.4.0 github.com/pmezard/go-difflib@v1.0.0
github.com/stretchr/testify@v1.4.0 github.com/stretchr/objx@v0.1.0
github.com/stretchr/testify@v1.4.0 gopkg.in/yaml.v2@v2.2.2
golang.org/x/lint@v0.0.0-20190930215403-16217165b5de golang.org/x/tools@v0.0.0-20190311212946-11955173bddd
golang.org/x/tools@v0.0.0-20191108193012-7d206e10da11 golang.org/x/net@v0.0.0-20190620200207-3b0461eec859
golang.org/x/tools@v0.0.0-20191108193012-7d206e10da11 golang.org/x/sync@v0.0.0-20190423024810-112230192c58
golang.org/x/tools@v0.0.0-20191108193012-7d206e10da11 golang.org/x/xerrors@v0.0.0-20190717185122-a985d3407aa7
github.com/kr/text@v0.1.0 github.com/kr/pty@v1.1.1
gopkg.in/yaml.v2@v2.2.2 gopkg.in/check.v1@v0.0.0-20161208181325-20d25e280405
golang.org/x/tools@v0.0.0-20190311212946-11955173bddd golang.org/x/net@v0.0.0-20190311183353-d8887717615a
